Jahrgang,Geschlecht,Alter,qx
1952,Frau,16,0.000379
1952,Frau,17,0.000511
1952,Frau,18,0.000713
1952,Frau,19,0.000572
1952,Frau,20,0.000366
1952,Frau,21,0.000401
1952,Frau,22,0.00046
1952,Frau,23,0.000358
1952,Frau,24,0.000319
1952,Frau,25,0.000553
1952,Frau,26,0.000298
1952,Frau,27,0.00053
1952,Frau,28,0.000506
1952,Frau,29,0.00071
1952,Frau,30,0.000415
1952,Frau,31,0.000352
1952,Frau,32,0.000516
1952,Frau,33,0.000678
1952,Frau,34,0.00086
1952,Frau,35,0.000591
1952,Frau,36,0.000851
1952,Frau,37,0.000886
1952,Frau,38,0.00076
1952,Frau,39,0.000952
1952,Frau,40,0.000852
1952,Frau,41,0.001165
1952,Frau,42,0.001323
1952,Frau,43,0.001285
1952,Frau,44,0.001447
1952,Frau,45,0.001373
1952,Frau,46,0.001198
1952,Frau,47,0.001459
1952,Frau,48,0.001843
1952,Frau,49,0.001908
1952,Frau,50,0.001968
1952,Frau,51,0.002636
1952,Frau,52,0.002101
1952,Frau,53,0.00219
1952,Frau,54,0.002504
1952,Frau,55,0.003332
1952,Frau,56,0.002541
1952,Frau,57,0.003228
1952,Frau,58,0.003813
1952,Frau,59,0.003501
1952,Frau,60,0.00442
1952,Frau,61,0.004445
1952,Frau,62,0.004389
1952,Frau,63,0.004317
1952,Frau,64,0.005229
1952,Frau,65,0.006102
1952,Frau,66,0.006392
1952,Frau,67,0.006185
1952,Frau,68,0.007069
1952,Frau,69,0.007838
1952,Frau,70,0.009033
1952,Frau,71,0.008626
1952,Frau,72,0.00938
1952,Frau,73,0.010237
1952,Frau,74,0.011214
1952,Frau,75,0.012339
1952,Frau,76,0.013642
1952,Frau,77,0.015175
1952,Frau,78,0.017007
1952,Frau,79,0.019211
1952,Frau,80,0.021859
1952,Frau,81,0.024998
1952,Frau,82,0.028724
1952,Frau,83,0.033158
1952,Frau,84,0.038389
1952,Frau,85,0.044574
1952,Frau,86,0.051878
1952,Frau,87,0.0604
