"BFS Nr.";"Gemeinde";"1. Gesamtsteuerfuss ohne Kirche (in Prozent)";"2. Gesamtsteuerfuss ohne Kirche (in Prozent)";"3. Gesamtsteuerfuss ohne Kirche (in Prozent)";"Abweichung Vorjahr ohne Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit ref. Kirche (in Prozent)";"Abweichung Vorjahr mit ref. Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit kath. Kirche (in Prozent)";"Abweichung Vorjahr mit kath. Kirche (Prozentpunkte)";"1. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"2. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"3. Gesamtsteuerfuss mit christkath. Kirche (in Prozent)";"Abweichung Vorjahr mit christkath. Kirche (Prozentpunkte)";"Juristischer Steuerfuss";"Definitiv"
"151";"Erlenbach";"76";"";"";"0";"84";"";"";"0";"83";"";"";"0";"90";"";"";"0";"83.58";"1"
"172";"Fehraltorf";"111";"";"";"0";"124";"";"";"0";"122";"";"";"0";"125";"";"";"0";"123.2";"1"
"27";"Feuerthalen";"114";"";"";"0";"128";"";"";"0";"128";"";"";"0";"128";"";"";"0";"128";"1"
"114";"Fischenthal";"122";"";"";"0";"136";"";"";"0";"135";"";"";"0";"136";"";"";"0";"135.7";"1"
"28";"Flaach";"107";"";"";"0";"119";"";"";"0";"120";"";"";"0";"121";"";"";"0";"119.26";"1"
"29";"Flurlingen";"111";"";"";"0";"123";"";"";"0";"125";"";"";"0";"125";"";"";"0";"123.64";"1"
"57";"Freienstein-Teufen";"99";"";"";"0";"113";"";"";"0";"112";"";"";"0";"113";"";"";"0";"112.68";"1"
"193";"Fällanden";"99";"";"";"0";"110";"";"";"0";"110";"";"";"0";"113";"";"";"0";"110";"1"
"244";"Geroldswil";"112";"";"";"0";"123";"";"";"0";"121";"";"";"0";"126";"";"";"0";"121.84";"1"
"58";"Glattfelden";"120";"";"";"0";"134";"";"";"0";"133";"";"";"0";"134";"";"";"0";"133.59";"1"
"115";"Gossau";"117";"";"";"0";"131";"";"";"0";"131";"";"";"0";"131";"";"";"0";"131";"1"
"194";"Greifensee";"101";"";"";"5";"112";"";"";"5";"111";"";"";"5";"115";"";"";"5";"111.57";"1"
"116";"Grüningen";"116";"";"";"0";"128";"";"";"0";"129";"";"";"0";"130";"";"";"0";"128.34";"1"
